Trying substitutions to: 3
with goodVertices 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 15
bad color to improve: 2  11  with index 40
bad color to improve: 2  15  with index 44
bad color to improve: 5  11  with index 76
3 bad colorings on level 1
Solved config  |2, 11| descendents: 
|3, 8, 10, 12, 15 |---| 3, 9, 10, 13, 14|
|3, 3, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|13, 13, 10, 13|---> |5, 6| possibles  |3, 7, 13|
|3, 3, 10, 14|---> |1, 4| possibles  |9|
|3, 4, 10, 14|---> |1, 4| possibles  |9|
|3, 7, 10, 14|---> |5, 6| possibles  |3, 7, 13|
|3, 8, 10, 14|---> |2, 4| possibles  |10, 12|
|3, 13, 10, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 4, 10, 14|---> |1, 4| possibles  |9|
|4, 7, 10, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 8, 10, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 13, 10, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 7, 10, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 8, 10, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 13, 10, 14|---> |5, 6| possibles  |3, 7, 13|
|8, 8, 10, 14|---> |2, 4| possibles  |10, 12|
|8, 13, 10, 14|---> |5, 6| possibles  |3, 7, 13|
|13, 13, 10, 14|---> |5, 6| possibles  |3, 7, 13|
|3, 3, 13, 13|---> |1, 5| possibles  |3, 4|
|3, 3, 13, 13|---> |1, 5| possibles  |3, 4|
|3, 4, 13, 13|---> |1, 5| possibles  |3, 4|
|3, 7, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 8, 13, 13|---> |2, 5| possibles  |3, 8|
|3, 9, 13, 13|---> |1, 5| possibles  |3, 4|
|3, 10, 13, 13|---> |2, 5| possibles  |3, 8|
|3, 13, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 13, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 14, 13, 13|---> |5, 6| possibles  |3, 7, 13|
|4, 4, 13, 13|---> |1, 5| possibles  |3, 4|
|4, 7, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|4, 8, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|4, 13, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|7, 7, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|7, 8, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|7, 13, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|8, 8, 13, 13|---> |2, 5| possibles  |3, 8|
|8, 13, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|9, 9, 13, 13|---> |1, 5| possibles  |3, 4|
|9, 10, 13, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 13, 13, 13|---> |5, 6| possibles  |3, 7, 13|
|9, 14, 13, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 10, 13, 13|---> |2, 5| possibles  |3, 8|
|10, 13, 13, 13|---> |5, 6| possibles  |3, 7, 13|
|10, 14, 13, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|13, 13, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 13, 13, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 14, 13, 13|---> |5, 6| possibles  |3, 7, 13|
|14, 14, 13, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|3, 3, 13, 14|---> |1, 6| possibles  |0, 3, 9|
|3, 4, 13, 14|---> |1, 6| possibles  |0, 3, 9|
|3, 7, 13, 14|---> |5, 6| possibles  |3, 7, 13|
|3, 8, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|3, 13, 13, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 4, 13, 14|---> |1, 6| possibles  |0, 3, 9|
|4, 7, 13, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 8, 13, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 13, 13, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 7, 13, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 8, 13, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 13, 13, 14|---> |5, 6| possibles  |3, 7, 13|
|8, 8, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|8, 13, 13, 14|---> |5, 6| possibles  |3, 7, 13|
|13, 13, 13, 14|---> |5, 6| possibles  |3, 7, 13|
|3, 3, 14, 14|---> |1, 4| possibles  |9|
|3, 4, 14, 14|---> |1, 4| possibles  |9|
|3, 7, 14, 14|---> |5, 6| possibles  |3, 7, 13|
|3, 8, 14, 14|---> |2, 4| possibles  |10, 12|
|3, 13, 14, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 4, 14, 14|---> |1, 4| possibles  |9|
|4, 7, 14, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 8, 14, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 13, 14, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 7, 14, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 8, 14, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 13, 14, 14|---> |5, 6| possibles  |3, 7, 13|
|8, 8, 14, 14|---> |2, 4| possibles  |10, 12|
|8, 13, 14, 14|---> |5, 6| possibles  |3, 7, 13|
|13, 13, 14, 14|---> |5, 6| possibles  |3, 7, 13|
+++++++++++++++++++++++++++++++++++++++
bad coloring on level 2  |8, 10, 1, 3|
bad coloring on level 2  |8, 10, 1, 13|
bad coloring on level 2  |8, 10, 2, 3|
bad coloring on level 2  |8, 10, 2, 9|
bad coloring on level 2  |8, 10, 2, 10|
bad coloring on level 2  |8, 10, 2, 13|
bad coloring on level 2  |8, 10, 2, 14|
bad coloring on level 2  |1, 3, 8, 10|
bad coloring on level 2  |1, 13, 8, 10|
bad coloring on level 2  |2, 3, 8, 10|
bad coloring on level 2  |2, 9, 8, 10|
bad coloring on level 2  |2, 10, 8, 10|
bad coloring on level 2  |2, 13, 8, 10|
bad coloring on level 2  |2, 14, 8, 10|

14 bad colorings on level 2
